country,freq,date,rank,track_id,artist_names,track_name,streams
ae,weekly,2021-12-23,1,5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),63427
ae,weekly,2021-12-23,2,5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),56828
ae,weekly,2021-12-23,3,2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),55401
ae,weekly,2021-12-23,4,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,53732
ae,weekly,2021-12-23,5,46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,50906
ae,weekly,2021-12-23,6,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,45919
ae,weekly,2021-12-23,7,7rglLriMNBPAyuJOMGwi39,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,45611
ae,weekly,2021-12-23,8,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,45285
ae,weekly,2021-12-23,9,1r9xUipOqoNwggBpENDsvJ,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,44645
ae,weekly,2021-12-23,10,6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,42596
ae,weekly,2021-12-23,11,2FRnf9qhLbvw8fu4IBXx78,Wham!,Last Christmas,38371
ae,weekly,2021-12-23,12,50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,34992
ae,weekly,2021-12-23,13,46HNZY1i7O6jwTA7Slo2PI,"Coldplay, BTS",My Universe,32761
ae,weekly,2021-12-23,14,2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,32061
ae,weekly,2021-12-23,15,0lLdorYw7lVrJydTINhWdI,Michael Bublé,It's Beginning to Look a Lot like Christmas,31825
ae,weekly,2021-12-23,16,3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,31556
ae,weekly,2021-12-23,17,0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,31090
ae,weekly,2021-12-23,18,7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,30238
ae,weekly,2021-12-23,19,20on25jryn53hWghthWWW3,"ACRAZE, Cherish",Do It To It,28718
ae,weekly,2021-12-23,20,7hU3IHwjX150XLoTVmjD0q,LISA,MONEY,28666
ae,weekly,2021-12-23,21,2gQPv5jvVPqU2a9HhMNO1v,BoyWithUke,Toxic,28649
ae,weekly,2021-12-23,22,5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),28647
ae,weekly,2021-12-23,23,3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),28613
ae,weekly,2021-12-23,24,6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,28109
ae,weekly,2021-12-23,25,7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,27893
ae,weekly,2021-12-23,26,1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,27330
ae,weekly,2021-12-23,27,1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),27190
ae,weekly,2021-12-23,28,4gvrJnKCKIPiacNsWVQwEU,"CKay, Dj Yo!, AX'EL",love nwantiti (feat. Dj Yo! & AX'EL) - Remix,26437
ae,weekly,2021-12-23,29,1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,25844
ae,weekly,2021-12-23,30,09gysnJpfQ3ublBmJDfcEC,"Amaarae, Kali Uchis, Moliy",SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),25351
ae,weekly,2021-12-23,31,00Blm7zeNqgYLPtW6zg8cj,"Post Malone, The Weeknd",One Right Now (with The Weeknd),25277
ae,weekly,2021-12-23,32,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,24478
ae,weekly,2021-12-23,33,5dXWFMwD7I7zXsInONVl0H,SZA,I Hate U,24077
ae,weekly,2021-12-23,34,3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',23962
ae,weekly,2021-12-23,35,3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,23833
ae,weekly,2021-12-23,36,5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),23020
ae,weekly,2021-12-23,37,2gpWyfu7eZ01zzncHpxOtA,"Swedish House Mafia, The Weeknd",Moth To A Flame (with The Weeknd),22811
ae,weekly,2021-12-23,38,7sMBvZCSUl99bJLXZaLa0b,"Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,22108
ae,weekly,2021-12-23,39,7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,21389
ae,weekly,2021-12-23,40,3nAp4IvdMPPWEH9uuXFFV5,Kelly Clarkson,Underneath the Tree,21210
ae,weekly,2021-12-23,41,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,21174
ae,weekly,2021-12-23,42,6tjituizSxwSmBB5vtgHZE,Michael Bublé,Holly Jolly Christmas,20823
ae,weekly,2021-12-23,43,0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,20807
ae,weekly,2021-12-23,44,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,20611
ae,weekly,2021-12-23,45,4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),20407
ae,weekly,2021-12-23,46,3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,19836
ae,weekly,2021-12-23,47,2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,19734
ae,weekly,2021-12-23,48,4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,19669
ae,weekly,2021-12-23,49,37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),19566
ae,weekly,2021-12-23,50,7fUYUcWy853HS8YJn0b3Sr,The Ronettes,Sleigh Ride,19473
ae,weekly,2021-12-23,51,0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,18400
ae,weekly,2021-12-23,52,6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),18160
ae,weekly,2021-12-23,53,2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,18041
ae,weekly,2021-12-23,54,27qAMKrDdKEs8HDXcvR24R,Chris Rea,Driving Home for Christmas - 2019 Remaster,17859
ae,weekly,2021-12-23,55,40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),17762
ae,weekly,2021-12-23,56,4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,17560
ae,weekly,2021-12-23,57,3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,17348
ae,weekly,2021-12-23,58,0aoUM0zcu0kCX7Cv7O939I,"Ed Sheeran, Elton John",Merry Christmas,17319
ae,weekly,2021-12-23,59,7DF8lvLdV3htIbuTWpc7lR,"Juice WRLD, SUGA, BTS",Girl Of My Dreams (with SUGA of BTS),17280
ae,weekly,2021-12-23,60,1iZLpuGMr4tn1F5bZu32Kb,Harrdy Sandhu,Bijlee Bijlee,17265
ae,weekly,2021-12-23,61,3Kkjo3cT83cw09VJyrLNwX,Adele,Oh My God,17218
ae,weekly,2021-12-23,62,1mWdTewIgB3gtBM3TOSFhB,BTS,Butter,17129
ae,weekly,2021-12-23,63,4kKdvXD0ez7jp1296JmAts,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),16974
ae,weekly,2021-12-23,64,5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,16954
ae,weekly,2021-12-23,65,0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,16798
ae,weekly,2021-12-23,66,0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,16755
ae,weekly,2021-12-23,67,2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,16685
